RAZONSOCIAL;NOMBRECOMERCIAL;DIRECCION;SITIOWEB;EMAIL;TELEFONO;TELEFONO2;FAX;PRODUCTOS;EMPLEOTOTAL;RANGOFACTURACION;IMPORTA;EXPORTA;FECHAACTUALIZACION
HIERROS JOSE FERNANDEZ, S.A.;HIERROS JOSE FERNANDEZ;POL. IND. OLLONIEGO, C/ A, PARCELAS 15 - 16 33660 OVIEDO ASTURIAS;http://hierrosjosefernandez.es;comercial@hierrosjosefernandez.es;98.526.02.81/82;;98.526.00.52;Comercio al por mayor de hierros y metales. Corte con máquinas cizalla y oxicorte de cnc, chapa de 2ªE industrial de calidad;;n.d.;si;;30/07/2025
HIERROS JUAN MANUEL, S.A.;HJM;POL. IND. BANKUNION 2 - C/ METALURGIA, 6 Y 8 - TREMAÑES 33211 GIJON ASTURIAS;http://hierrosjuanmanuel.com/;hierrosjuanmanuel@hierrosjuanmanuel.com;98.530.85.11;;98.530.81.66;Corte, comercializacion y transformado de metales y productos siderurgicos. Oxicorte de acero y cortes por plasma de alta definicion. Grandes dimensiones;;n.d.;;;16/10/2025
HIERROS LA MOZQUITA, S.L.;;LA LLERA S/N. LORIO 33991 LAVIANA ASTURIAS;http://www.hierroslamozquita.com;lamozquita@hierroslamozquita.com;98.561.43.82;;98.561.43.82;Fabricación de estructuras metálicas. Almacén de hierro, ferralla elaborada, carpintería metálica.;;n.d.;;;30/07/2025
HIERROS LAMINADOS ASTURIAS, S.A.;;C/ LA CANTERA - PARQUE EMPRESARIAL LA PEÑONA 33211 GIJON ASTURIAS;http://www.hlasturias.com;hla@hlasturias.com;98.532.22.00;;98.532.75.36;Hierros laminados (vigas, angulares, corrugados, chapas, etc.);;n.d.;si;;15/10/2025
HIERROS MARCELINO FRANCO, S.A.;GRUPO HMF;AVDA. CONDE GUADALHORCE, 131 33401 AVILES ASTURIAS;http://www.grupohmf.com;hmf@grupohmf.com;98.556.38.04;;;Almacén de hierros. Especialistas en chapas de todas las calidades. Oxicorte de control numérico y plasma;;n.d.;si;si;30/07/2025
HIERROS Y CARBONES, S.A.;HICASA;POL. IND. ASIPO, C/ B, PARCELA 48 33428 LLANERA ASTURIAS;http://www.hicasa.com;info@hicasa.com;98.526.04.73;;98.526.09.05;Venta al por mayor de carriles y accesorios de via;;n.d.;si;si;05/11/2025
HIERROS Y METALES GIJON, S.L.;HIERROS Y METALES GIJON;C/ SOLAR, 31. EL CERILLERO 33213 GIJON ASTURIAS;;compraventa@hierrosymetalesgijon.com;98.532.36.86;;98.532.36.86;Recuperación de chatarra;;n.d.;;;30/07/2025
HIGINIO FERNANDEZ FERNANDEZ, E.I.;HIFER ARTES GRAFICAS;C/ LORENZO ABRUÑEDO, 2 Y 4 33012 OVIEDO ASTURIAS;http://www.hifer.com;buzon@hifer.com;98.528.08.86;;98.511.86.13;Impresión en papel, impresión digital en color y blanco y negro;5;n.d.;;;01/10/2025
HIJOS DE ESPERANZA VALLINA, S.L.;EMBUTIDOS ALTO ALLER;POL. IND. SILVOTA, C/PEÑA SALON, 44 33424 LLANERA ASTURIAS;http://www.embutidosaltoaller.com;info@embutidosaltoaller.com;98.520.95.06;;98.526.65.58;Longaniza extra, morcilla allerana, chorizos extra y primera, lomo embuchado extra, picadillo, chorizo de vela, salchichón, costilla, panceta,lomo fresco;;n.d.;;;30/07/2025
HIJOS DE FLORENCIO RODRIGUEZ, S.A.;;C/ EL PERAL, 4 33590 RIBADEDEVA ASTURIAS;;;98.541.20.72;;98.541.23.57;Diseño y provisión de raciones personalizadas para vacuno;9;Entre 600.001 y 1.200.000;;;30/07/2025
HIJOS DE LUIS MARTINEZ NOREÑA, S.L.;LA SIERRA;SOTO Nº 14, TREVIAS 33780 VALDES ASTURIAS;http://www.maderaslasierra.es;maderas@lasierra.com.es;98.564.70.04;;98.411.18.78;Madera aserrada, machihembrada, frisos, rodapiés, rastreles, vigas, pontones, canecillos, tablas, tablones, etc. Especialidad en tarima de castaño.;;n.d.;si;si;30/07/2025
HIJOS DE LUIS RODRIGUEZ, S.A.;SUPERMERCADOS MASYMAS;POL. IND. SILVOTA, MERCASTURIAS, NAVE 5 33192 LLANERA ASTURIAS;http://www.supermasymas.com;direccion_general@supermasymas.com;98.598.09.03;;98.526.34.10;Comercio de alimentación Comercio e productos alimenticios;;n.d.;;;01/10/2025
HIJOS DE VIDAL BEDIA, S.L.;;AVDA. DE GALICIA, 35. LA CARIDAD 33750 FRANCO (EL) ASTURIAS;https://www.hijosdevidalbedia.es/;vidalbedia@hijosdevidalbedia.es;98.563.70.80;;98.547.80.12;Tablas, tablones, rastrel, todo tipo de maderas para embalajes, tarimas, tabla/tablón encolado, molduras, apeas de mina, apeas para celulosa, tabla machihembrada. Secadero para madera;;n.d.;si;si;30/07/2025
HIPSITEC, S.A.;;C/ ISIDORO CHAMORRO PEREZ, 7 1º A 33008 OVIEDO ASTURIAS;https://hipsitec.com/;info@hipsitec.com;98.408.17.62;;98.418.69.53;Redacción de proyectos y estudios de ingeniería civil. Desarrollo urbanístico y gestión del suelo.;;n.d.;;si;30/07/2025
HISPANO CUBANA DE INTERIORES, S.L.;;C/ ORBON, 16 6º 33204 GIJON ASTURIAS;;brico-cook@terra.es;98.501.07.18;;98.501.07.40;Muebles de cocina y complementos, puertas de paso y armarios, madera, melamina.;;n.d.;;si;30/07/2025
HISPANO INDUSTRIAS SVELT, S.L.;SVELT;POL. IND. LLAMES, PARCELA, 26 Y 42, VIELLA 33429 SIERO ASTURIAS;http://www.svelt.es;ventas@svelt.es;98.579.30.12;;98.579.21.12;Fabricación y distribución de escaleras portátiles, andamios móviles tubulares de aluminio y soluciones especiales a medida de acceso y trabajo en altura;;n.d.;si;si;01/10/2025
HNOS. SAMPEDRO CONSTRUCCIONES, S.L.;;AVDA. DE LA AGRICULTURA, 34. POL. IND. BANKUNION II 33211 GIJON ASTURIAS;;sampedro@sampedro.flcnet.es;98.517.58.43;;98..51.7..58;Promoción y construcción.;;n.d.;;;30/07/2025
HONESA EMBALAJES, S.L.;HONESA;CAMINO DEL MELON, 29, POL. IND. BANKUNION I, TREMAÑES 33211 GIJON ASTURIAS;https://honesa.com;honesa@honesa.com;98.532.38.21;;;Impresión de papel en bobinas y resmas para toda clase de comercio.;;n.d.;si;;30/07/2025
HONORIO VEGA, S.L.;HONORIO VEGA;POL. IND. LOGREZANA. CARRETERA AS-110 KM 8. LA GRANDA 33438 CARREÑO ASTURIAS;;transportes@honoriovega.com;98.557.21.31;;98.557.51.28;Transporte de mercancías por carretera.;;n.d.;;;30/07/2025
HORMIGONES AVILES OVIEDO, S.A.;HORAVISA;PLAZA DE LA GESTA, 3, 1º D 33007 OVIEDO ASTURIAS;http://www.horavisa.es;info@horavisa.es;98.524.39.76/17.41/37.36;;98.596.42.24;Hormigón;;n.d.;;;15/10/2025
HORMIGONES DE VALDES, S.A.;HORVALSA;POL. IND. RIO PINTO, FASE I - II, P 56. JARRIO 33719 COAÑA ASTURIAS;http://www.horvalsa.com;horvalsa@horvalsa.com;98.547.32.03;;98.547.46.85;Fabricacion y venta de hormigon.;;n.d.;;;01/10/2025
HORMIGONES DEL NARCEA, S.A.;HORNASA;ARGANCINAS 33876 TINEO ASTURIAS;;hornasa@telefonica.net;98.580.11.23/581.06.01;;98.581.70.72;Hormigón, áridos.;;n.d.;;;30/07/2025
HORMIGONES DEL SELLA, S.A.;HORSELLA;CTRA. DE FRIOS, S/N. ARRIONDAS 33540 PARRES ASTURIAS;http://www.candesagrupo.com/;horsella@candesagrupo.com;98.571.14.96;;98.584.36.04;Empresa Dedicada a la Extracción y Comercialización de áridos Calizos Hormigón y áridos;;n.d.;si;;01/10/2025
HORMIGONES EL LLANON, S.L.;;C/ EL LLANON, S/N 33860 SALAS ASTURIAS;;;98.583.20.94;;98.583.03.50;Hormigones preparados;;n.d.;;;30/07/2025
HORMIGONES NALON, S.A.;GONASA;C/ URIA, 60 - 3º B 33003 OVIEDO ASTURIAS;http://www.hormigonesnalon.com;gonasa@flcnet.es;98.521.08.05;;98.521.54.20;Hormigón;;n.d.;;;30/07/2025
HORMIGONES PELAYO, S.A.;;POL. IND. RIAÑO II, PARCELAS 17 Y 18. 33920 LANGREO ASTURIAS;https://www.hormigonespelayo.com;info@hormigonespelayo.com;98.530.37.35;;985303741;Prefabricados de hormigón. Hormigón y bloques de hormigón. Fabricación y distribución de hormigón y mortero.;;n.d.;;;30/07/2025
HOSTELERIA CERECEDO, S.L.;CONFITERIA CAFETERIA SANTA CRISTINA;C/ URIA, 43 33003 OVIEDO ASTURIAS;http://www.pasteleriasantacristina.com;info@pasteleriasantacristina.com;98.524.08.00/23.50;;98.596.25.73;Pasteles, tartas, bollos, pan.;;n.d.;si;;30/07/2025
HUBER Y ANA ANIMACION, S.L.U.;;C/ ESPRONCEDA, 19, BAJO 33208 GIJON ASTURIAS;http://www.huberyana.com;huber@huberyana.com;98.517.15.52;;98.517.27.48;Organización de eventos, convenciones, azafatas (actos sociales, deportivos, cócteles, campañas promocionales, conferencias y congresos, entregas de premios). Servicios de animación sociocultural, formación, proyectos educativos, cursos de formación para el empleo (Centro Homologado por el Ayuntamiento de Gijón) y cursos de Monitor y Director de Tiempo Libre (Escuela Homologada por el Principado de Asturias).;;n.d.;;;30/07/2025
HUGO GARCIA RODRIGUEZ, E.I.;ROTULOS FOMENTO;CTRA. AS-18, PARCELA 1956. PO. IND. ROCES 1B 33211 GIJON ASTURIAS;http://www.rotulosfomento.es;info@rotulosfomento.es;;;;Fabricación rótulos, señalización interior y metalistería;;n.d.;si;si;30/07/2025
HULLERAS DEL NORTE, S.A.;HUNOSA;AVDA. DE GALICIA, 44 33005 OVIEDO ASTURIAS;http://www.hunosa.es;info@hunosa.es;98.510.73.00/15;;98.596.53.82;Carbón;;n.d.;si;;03/11/2025
HUNOSA EMPRESAS, S.A. SME;;EL LLUGARIN S/N. UJO 33640 MIERES ASTURIAS;http://www.hunosaempresas.es/;info@hunosaempresas.es;98.542.25.30;;;Realización de labores de reindustrialización y potenciación de la inversión empresarial en los municipios situados en el área de influencia de Hunosa;;n.d.;;;01/10/2025
IBERDROLA, S.A.;;PARQUE TECNOLOGICO DE ASTURIAS, C/ ABLANAL, 7 - EDIF. CENTROELENA II 33428 LLANERA ASTURIAS;http://www.iberdrola.es;informacion@iberdrola.com;98.569.40.11;900.225.235;;Energía eléctrica procedente de central térmica. Energía eólica.;;n.d.;si;si;01/10/2025
IBERICA DE REVESTIMIENTOS GRUPO EMPRESARIAL, S.L.;IBERSA;POL. IND. DE SANTIANES S/N 33518 SIERO ASTURIAS;https://www.ibersa.es/es/;ibersa@ibersa.es;98.579.36.51/21.06/20.96;;98.579.38.87;Pinturas plásticas para interiores y exteriores, esmaltes, barnices, anticorrosivos, impermeabilizantes, epoxi, aluminio, poliuretanos, colorantes, pintura suelos;;n.d.;si;si;01/10/2025
IBERICA DE SERVICIOS E INVERSIONES, S.A.;IBERINSA;C/ GENERAL ZUBILLAGA, 6 33005 OVIEDO ASTURIAS;http://www.iberinsa.eu;correo@iberinsa.eu;98.523.38.00;;98.527.06.56;Actividades de las Sociedades de Holdings.n;;n.d.;;;30/07/2025
IBERIS SOFTWARE, S.L.;;C/ EZCURDIA, 71 - 1º A 33203 GIJON ASTURIAS;http://www.iberisoft.com/;pavel@iberisoft.com;98.403.08.51;;98.530.82.28;Desarrollo y mantenimineto de software médico, espcialement dde PACS (Picture Archiving and Communication Systems) y RIS (Radiology Information Systems);;n.d.;si;si;30/07/2025
IBERLEGAL GRUPO PFS SOCIEDAD DE SERVICIOS JURIDICOS, S.L.P.;IBERLEGAL;C/ NICOLAS SORIA Nº 2-1º A 33012 OVIEDO ASTURIAS;http://www.pfsgrupo.com;alfonsoalvarez@pfsgrupo.com;90.210.80.45;;90.210.89.92;La prestación de servicios jurídicos, propios de la abogacia, incluida la actuación ante tribunales y árbitros, por medio de abogados que tengan la condición de socios o presten servicios profesionales para la sociedad.;;n.d.;;;30/07/2025
IDENTIFICACION VISUAL ABEZETA, S.L.;ABZ;C/ GALILEO GALILEI, 770 33392 GIJON ASTURIAS;http://www.grupoabezeta.com;abz@grupoabezeta.com;98.516.86.53;;98.516.84.25;Fabricación de rótulos luminosos y señalización industrial. Diseño y construcción de imágenes corporativas. Metalistería. Sistema de mecanización por láser industrial. Trabajos para grandes superficies.;;n.d.;;si;30/07/2025
IDESA ENERGY, S.L.U.;;C/ PROFESOR POTTER, 105. PARQUE CIENTIFICO Y TECNOLOGICO DE GIJON. 33203 GIJON ASTURIAS;http://www.idesa.net;idesa@idesa.net;98.517.57.05;;98.517.57.06;Cisternas, dépositos y contenedores de metal.;;n.d.;;;01/10/2025
IDESA FABRICATION, S.A.;IDEFAB;C/ PROFESOR POTTER, 105. PARQUE CIENTIFICO TECNOLOGICO DE GIJON 33203 GIJON ASTURIAS;http://www.idesa.net;idesa@idesa.net;98.517.57.05;;98.517.57.06;Autoclaves, columnas, reactores, intercambiadores helicoidales, separados, drums, silos, tanques, esferas, módulos (skids), calderas, intercambiadores carcasa-tubo. Equipos de verificación.;;n.d.;;;01/10/2025
IDESA TECHNOLOGY & RESEARCH CENTRE, S.L.;;C/ PROFESOR POTTER, 105 PARQUE CIENTIFICO Y TECNOLOGICO DE GIJON 33204 GIJON ASTURIAS;https://www.idesa.net/;;98.517.57.05;;;Innovación en los procesos de la compañía y desarrollo de productos;;n.d.;;;01/10/2025
IGLESIAS & ORDOÑEZ ABOGADOS, C.B.;;C/ SAN FRANCISCO Nº 8 1º A 33003 OVIEDO ASTURIAS;;iglesiasyordonez@telecable.es;98.520.60.58;;98.521.21.84;Familia, mediación familiar, penal, accidentes de circulación, herencias, responsabilidad contractual y extracontractual, procedimientos concursales, reclamación de impagos y asesoramiento mercantil.;;Entre 0 y 150.000;;;30/07/2025
IGNACIO ARBESU CIMADEVILLA Y 4 MAS, C.B.;SIDRA ARBESU / RESTAURANTE ARBESU;SANTA MARINA, S/N 33187 SIERO ASTURIAS;http://www.restaurantearbesu.com;info@restaurantearbesu.com;98.574.23.90;;98.574.23.90;Sidra natural. Servicio de restauración;11;n.d.;;;30/07/2025
IKNOVATIO & DOSHAREIT SOLUTIONS, S.L;IKNOVATIO;C/ MAX PLANCK, 623. POL. IND. DE PORCEYO 33211 GIJON ASTURIAS;http://www.iknovatio.com;info@iknovatio.com;98.451.10.33;;;ConsultorÍa, formación y desarrollo de software. Certificación en tecnologías microsoft y gestión de proyectos. Portales colaborativos. Consultoría y formación. Migraciones y análisis de datos. Desarrollos a medida. Desarrollos Front & Back Solución para desarrollo en la nube con un conjunto de herramientas de bajo código que permiten desarrollos ágiles hacen avanzar su negocio Solución para desarrollo en la nube con un conjunto de herramientas de bajo código que permiten desarrollos ágiles hacen avanzar su negocio Solución para desarrollo en la nube con un conjunto de herramientas de bajo código que permiten desarrollos ágiles hacen avanzar su negocio Solución para desarrollo en la nube con un conjunto de herramientas de bajo código que permiten desarrollos ágiles hacen avanzar su negocio Solución para desarrollo en la nube con un conjunto de herramientas de bajo código que permiten desarrollos ágiles hacen avanzar su negocio;;n.d.;;;30/07/2025
IMAGE ANALYST PROCESSING, S.L.;IMAGERYST;C/ GENERAL ELORZA, 25 - PTA 3, PLT 9 33001 OVIEDO ASTURIAS;https://www.imageryst.com/;contact@imageryst.com;;;;Imageryst es una solución que utiliza la IA y teledetección para procesar automáticamente imágenes de satélite para la extracción de datos a los usuarios empresariales con el fin de que estos puedan basar sus análisis en datos fiables, globales y precisos. Soluciones tecnológicas en Big Data;;n.d.;;si;30/07/2025
IMAGEN, INSTALACIONES Y MANTENIMIENTOS GENERALES C.B.;IMAGEN;C/ DANIEL MOYANO, 17 BAJO 33011 OVIEDO ASTURIAS;http://www.instalacionesimagen.es;info@instalacionesimagen.es;98.528.30.01;;98.528.30.01;Instalaciones y mantenimientos de fontanería, calefacción de gas, pequeñas reformas;6;Entre 0 y 150.000;;;30/07/2025
IMAGINE800, S.L.;;PARQUE TECNOLOGICO DE ASTURIAS, ED CEEI 33424 LLANERA ASTURIAS;http://www.imagine800.com;info@imagine800.com;98.598.00.98;902.876.902;98.598.06.18;Imagine800 es especialista en el diseño, desarrollo y operación de aplicacionesmultidispositivo para iPhone, Android, Blackberry, SmartTV así como WebApps. Explota también servicios SMS, MMS, Bluetooth, Códigos 2D, NFC, Pantallas de Visualización Multimedia, Videoportal 3G y portal de voz, así como en la integración de éstos con cualquier sistema de información y de Gestión de Contenidos. Adicionalmente gestiona los derechos de contenidos de diferente índole para su explotación en todo tipo de dispositivos (juegos, bienes virtuales, videos, etc)Marketing digital y e especial el relacionado con los dsipositivos móviles. Desarrollo de videojuegos. Desarrollo de videojuegos;;n.d.;si;si;01/10/2025
IMAGUA WATER TECHONOLOGIES, S.L.;IMAGUA;C/ SAAVEDRA 4 - OFICINA 21 33208 GIJON ASTURIAS;http://www.imagua.es;info@imagua.es;984 194 632;984.194.637;98.532.08.77;Sistemas de ingeniería de tratamiento de aguas;;n.d.;;si;30/07/2025
IMASA, INGENIERIA Y PROYECTOS, S.A.;IMASA;PARQUE TECNOLOGICO DE ASTURIAS, C/ FAYA 10 - PARCELA 42 33428 LLANERA ASTURIAS;http://www.imasa.com;dcorporativa@imasa.com;98.557.31.52/32.52;;98.557.43.53;Ingeniería básica y desarrollo de plantas industriales, instalaciones de manutención, equipos para la industria, instalaciones de almacenamiento y manipulación de graneles, tratamiento de fluidos, medio ambiente, etc. Proyectos llave en mano. Montaje de instalaciones industriales. Mantenimiento y conservación de plantas industriales Fabricación de bienes de equipo, estructuras de calderería pesada y media, conductos, etc. Proyectos llave en mano.;;n.d.;;si;01/10/2025
IMPACT 5, S.A.;;C/ VENTURA RODRIGUEZ, 2 - ENTREPLANTA 33004 OVIEDO ASTURIAS;http://www.impact5.es;administracion@impact5.es;98.520.70.80;;;Agencia de publicidad y servicios plenos, diseño, medios tradicionales, medios interactivos, organización de eventos, marketing promocional;;n.d.;;;30/07/2025
IMPEXA, S.L.;;C/ FARENHEIT, 139 33211 GIJON ASTURIAS;http://www.impexa.es;info@impexa.es;98.530.70.15;;98.516.88.75;Importación y exportación de suministros industriales: especialidad en industria siderúrgica.;;n.d.;si;si;30/07/2025
IMPEXMON, S.L.;;C/ GRAHAM BELL, 259 33211 GIJON ASTURIAS;;impexmon@impexmon.com;98.516.74.00;;98.516.74.01;Montaje de armazones y estructuras metálicas. Montajes industriales.;;n.d.;;;30/07/2025
IMPRASTUR, S.A.;IMPRASTUR, S.A.;POL. IND. SILVOTA, C/ PEÑA REDONDA, PARCELA R 33 33192 LLANERA ASTURIAS;http://www.imprastur.com;imprastur@imprastur.com;98.526.55.06;;98.526.42.08;Impresión offset y digital de revistas, libros, carteles.;;n.d.;;;30/07/2025
IMPRENTA CERVANTES, C.B.;IMPRENTA CERVANTES;C/ MANUEL ALVAREZ MIRANDA, 1 33300 VILLAVICIOSA ASTURIAS;http://www.imprentacervantes.es;info@imprentacervantes.es;98.589.04.23;;98.589.04.23;Impresos de todo tipo;2;n.d.;;;30/07/2025
IMPRENTA COMERCIAL, C.B.;IMPRENTA COMERCIAL;C/ SAAVEDRA, 61, BAJO 33208 GIJON ASTURIAS;;cb.imprentacomercial@gmail.com;98.515.04.03;;98.515.04.03;Fotocomposición e impresión de textos e imágenes.;3;Entre 0 y 150.000;;;30/07/2025
IMPRENTA ECOPRINT, S.L.;ECOPRINT;C/ DE LAS REDERAS, 3 33417 AVILES ASTURIAS;http://www.imprentas-ecoprint.com;emilio@imprentas-ecoprint.com;98.512.98.23;;98.556.51.69;Libros, revistas, folletos e impresos en general.;;n.d.;;;30/07/2025
IMPRENTA GOFER, S.L.;;POL. IND. GRANDA II, C/ LOS EUCALIPTOS, 4. GRANDA 33199 SIERO ASTURIAS;http://www.imprentagofer.com/;oficina@imprentagofer.com;98.523.16.30;;;Carteles, revistas, reproducciones, libros, impresos en general de banca y comercio;;n.d.;;;30/07/2025
IMPRENTA GOYMAR, S.L.;;C/ LA LILA, 28 33002 OVIEDO ASTURIAS;http://www.imprentagoymar.com/;pedidos@imprentagoymar.com;98.521.56.22;;98.520.45.31;Impresión Offset y digital;;n.d.;;;30/07/2025
IMPRENTA GRAFICAS MARTIN, S.L.;GRAFICAS MARTIN;C/ SAN RAFAEL, 18 33209 GIJON ASTURIAS;http://www.graficasmartingijon.es;info@graficasmartin.net;98.538.68.00;;98.538.69.31;Impresos, folletos, revistas, catálogos y papelería.;;n.d.;;;30/07/2025
IMPRENTA HELMANTICA, C.B.;IMPRENTA HELMANTICA;C/ CLARIN, 3, BAJO 33800 CANGAS DEL NARCEA ASTURIAS;;imphelmantica@gmail.com;98.581.20.56;;98.581.20.56;Imprenta offset y digital: tarjetas, talonarios, sobres, carteles, publicidad;4;n.d.;;;30/07/2025
IMPRENTA LOREDO, S.L.;;C/ MARIA GONZALEZ LA PONDALA, 100 - SOTIELLO 33393 GIJON ASTURIAS;;info@imprentaloredo.es;98.530.37.49;;98.530.37.49;Impresos, libros, catálogos, etc.;;n.d.;;;30/07/2025
IMPRENTA NOVAL, S.L.;IMPRENTA NOVAL;C/ RAMON Y CAJAL, 17 33510 SIERO ASTURIAS;http://www.imprentanoval.com;info@imprentanoval.com;98.572.09.98;;98.572.09.98;Impresos en general, publicidad, folletos, cartelería, etc. Venta minorista de material de oficina;;n.d.;;;30/07/2025
IMPRIMACERO, S.A.;;PARQUE EMPRESARIAL DEL PRINCIPADO DE ASTURIAS. AVDA. DEL ZINC, S/N 33400 AVILES ASTURIAS;http://www.grupohmf.com;imp@grupohmf.com;98.556.58.72/60.67/38.04;;98.556.66.53;Servicios de limpieza al chorrro de granalla, aplicación automática de imprimaciones y aplicación de productos de otras marcas y colores.;;n.d.;;;30/07/2025
IMPULSO INDUSTRIAL ALTERNATIVO, S.A.;IMPULSO;C/ LLOREU 7, PARCELA 13-A. PARQUE TECNOLOGICO DE ASTURIAS 33428 LLANERA ASTURIAS;http://www.impulso.es;impulso@impulso.es;98.526.90.04;902.151.501;98.596.41.06;Servicios integrales de ingeniería, arquitectura y consultoría para sector público y privado. Áreas de especialidad: Acuicultura, Energía, Geología y Minería, I+D+i, Edificios Singulares / Corporativos, Parques Científicos y Tecnológicos, Planes estratégicos, asistencia en diseño e implementación de programas públicos.Proyectos, estudios, direcciones de obra, planes de viabilidad y negocio, planes directores, planes estratégico, búsqueda de financiación para proyectos e inversión e innovación, asistencia técnica en general para todos los sectores de actividad económica.;;n.d.;;si;01/10/2025
INATEL, S.L.;;C\ ABLANAL 9, ED. CENTROELENA I, 1ºG. PARQUE TECNOLOGICO DE ASTURIAS 33424 LLANERA ASTURIAS;http://www.inatel.es;inatel@inatel.es;98.598.02.24;;98.598.02.25;Instalación y mantenimiento de equipos de comunicaciones. Redes de datos, centralitas telefónicas virtualizadas, IP.... todo lo que necesiten en su oficina o fábrica, centralitas desde 2 a 15000 extensiones.;;n.d.;;;01/10/2025
INCA SERVICIOS Y PROYECTOS DE INGENIERIA CIVIL, S.A.;INCA;DIONISIO RIDRUEJO Nº 2, 1º EXTERIOR 33007 OVIEDO ASTURIAS;http://www.incagrupo.es/;inca@incagrupo.es;98.524.42.79/44.90;;98.527.18.26;Proyectos de ingeniería civil, abastecimientos de aguas, carreteras, autopistas, impactos ambientales, consultoría medioambiental;;n.d.;;si;01/10/2025
INDALECIO GARCIA LLAMEDO, E.I.;EMBUTIDOS COLEGIATA;LA REAL S/N - PRIANDI 33520 NAVA ASTURIAS;http://www.embutidoscolegiata.es;info@embutidoscolegiata.es;98.570.09.55;;;Embutidos, chorizos.;;n.d.;;;30/07/2025
INDELAC, S.L.;;POL. IND. ASIPO. C/A PARCELA 3 A, NAVES 4 Y 7 33428 LLANERA ASTURIAS;http://www.indelac.es;info@indelac.es;98.526.39.69;;98.526.39.70;Productos en acero al carbono, acero inoxidable y latón utilizados en los mercados de calderería e industria, construcción y decoración, equipamientos y obras hidráulicas, estructuras metálicas;;n.d.;;;30/07/2025
INDUSLA, S.A.;;C/ LA LAMINACION, Nº 7 - POL. IND. LA JUVERIA - TREMAÑES 33211 GIJON ASTURIAS;http://www.indusla.com;indusla@indusla.com;98.532.17.96;;98.531.49.56;Perfiles especiales laminados en caliente. Perfiles para bisagras de automoción, para el sector naval, agrícola, ferroviario, etc. Perfiles para guías de ascensor.;;n.d.;si;si;01/10/2025
INDUSTRIA CARTONERA ASTURIANA, S.A.;ICA;POL. IND. SAN CLAUDIO, NAVE 13 33191 OVIEDO ASTURIAS;http://www.cartonerasturiana.com/;ica@cartoneraasturiana.com;98.578.00.05;;98.578.00.05;Cajas de cartón.;;n.d.;;;30/07/2025
INDUSTRIAL AUTOMATION CONTROL, S.L.;INAUCO;LOS PRADOS 166, EDIFICIO IMPULSA, PARQUE CIENTIFICO TECNOLOGICO DE GIJON, CP33203. GIJON. ASTURIAS 33203 GIJON ASTURIAS;http://www.inauco.net;sminatelli@inauco.net;63.585.24.42;;;Instrumentación, medición de energía, automatización y control.;1;Entre 0 y 150.000;;;30/07/2025
INDUSTRIAL DE ACABADOS, S.A.;INDASA;C/ CABRALES, 12, ENTLO. IZQDA. 33201 GIJON ASTURIAS;http://www.indasa.com;info@indasa.com;98.535.54.56;;98.535.02.91;Tratamiento de superficies metálicas, limpieza, extracción y desobturación de alcantarillados, conducciones, equipos y tanques en plantas industriales y buques, chorreado y pintura de buques y bloques, andamiaje, hidroblasting, aplicación de recubrimientos, preparación de acero, tratamientos off-shore (aplicaciones en sector naval, industrial y civil).;;n.d.;;si;01/10/2025
INDUSTRIAL GIJONESA, S.A.;INGISA;C/ JOSE LLAMA FERNANDEZ, Nº 16 - 18. POL. IND. SOMONTE 33393 GIJON ASTURIAS;http://www.ingisa.net;otingisa@telecable.es;98.530.12.70;;98.532.40.19;Depósitos, elementos en aceros especiales e inoxidables. Estructuras metálicas y tubería industrial.;;n.d.;si;;30/07/2025
INDUSTRIAL METALURGICA CORES, S.L.U.;IMECO;POL. IND. LOGREZANA S/N 33438 CARREÑO ASTURIAS;https://industrial-metalurgica-cores-slu-imeco.negocio.site/;imecosl@imecosl.net;98.557.77.52;;98.551.46.26;Estructuras metálicas;;n.d.;;;30/07/2025
INDUSTRIAL OLMAR, S.A.;OLMAR;C/ NICOLAS REDONDO URBIETA, PARCELA 1 B 33393 GIJON ASTURIAS;http://www.olmar.com;info@olmar.com;98.532.17.00;;98.532.38.31;Fabricación de generadores de vapor y autoclaves para vulcanizados, esterilización de productos alimentarios, tratamiento de madera, vidrio, residuos hospitalarios y composites.;;n.d.;;si;01/10/2025
INDUSTRIAL QUIMICA DEL NALON ENERGIA, S.A.;;C/ GENERAL ZUVILLAGA, 6 33005 OVIEDO ASTURIAS;http://www.nalonchem.com;iqn@nalonchem.com;98.598.26.00;;98.598.26.26;Producción de energía termoeléctrica.;;n.d.;;;30/07/2025
INDUSTRIAL TERMOMETRICA SOCIEDAD DE ASTURIAS, S.L.;INTERSA;AVDA. DE OVIEDO, 17, BAJO 33424 LLANERA ASTURIAS;http://www.intersa.net;intersa@arrakis.es;985770596;;98.577.20.54;Aparatos de regulación, medición y control de las temperaturas. termopares, termorresistencias, resistencias eléctricas, vainas cerámicas y metálicas.;;n.d.;si;si;30/07/2025
INDUSTRIAL ZARRACINA, S.A.;;CAMINO DEL FONTAN 555 33392 GIJON ASTURIAS;http://www.zarracina.com/;info@zarracina.com;98.516.85.83;;98.516.79.29;Sidra gasificada, vino embotellado, zumo de manzana, sirope, dulces y galletas.;;n.d.;;si;08/10/2025
